ID,Reported_Date,Reported_Hour,Reported_Year,Occurred_Date,Occurred_Hour,Occurred_Year,Time_of_Day,Weekday,Day_of_Week,Neighbourhood,Sector,Division,Ward,Councillor,Census_Tract,Level_of_Injury,x,y,Occurred_Month
11,2018-01-21 05:00:00,300,2018,2018-01-21 05:00:00,300,2018,Night,Sunday,7,Bells Corners West,15,West,Ward 8 - College,Laine Johnson,5050136.02,MINOR,-75.83029314,45.31198917,January
12,2018-01-24 05:00:00,200,2018,2018-01-24 05:00:00,2300,2018,Evening,Wednesday,3,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.0,MAJOR,-75.61866099,45.3984387,January
13,2018-01-30 05:00:00,1600,2018,2018-01-30 05:00:00,1600,2018,Afternoon,Tuesday,2,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,UNKNOWN,-75.64360969,45.37524514,January
14,2018-02-01 05:00:00,1800,2018,2018-02-01 05:00:00,1800,2018,Evening,Thursday,4,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.0,UNKNOWN,-75.64985831,45.42600837,February
15,2018-02-04 05:00:00,100,2018,2018-02-04 05:00:00,100,2018,Night,Sunday,7,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,FATAL,-75.70639885,45.32886919,February
16,2018-02-11 05:00:00,1000,2018,2018-02-05 05:00:00,1300,2018,Afternoon,Monday,1,Cityview - Skyline - Fisher Heights,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050132.0,FATAL,-75.72785839,45.36253668,February
17,2018-02-17 05:00:00,1200,2018,2018-02-17 05:00:00,1200,2018,Afternoon,Saturday,6,Vanier South,25,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050102.0,MAJOR,-75.66006075,45.43665711,February
18,2018-03-02 05:00:00,200,2018,2018-03-02 05:00:00,2200,2018,Evening,Friday,5,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,UNKNOWN,-75.64694642,45.3469241,March
19,2018-03-03 05:00:00,200,2018,2018-03-03 05:00:00,100,2018,Night,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.0,MAJOR,-75.65412529,45.42343751,March
20,2018-03-03 05:00:00,1900,2018,2018-03-03 05:00:00,200,2018,Night,Saturday,6,Braemar Park - Bel Air Heights - Copeland Park,17,West,Ward 8 - College,Laine Johnson,5050024.0,UNKNOWN,-75.76411245,45.35362784,March
21,2018-03-06 05:00:00,600,2018,2018-03-06 05:00:00,300,2018,Night,Tuesday,2,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050161.05,UNKNOWN,-75.8480238,45.28043912,March
22,2018-03-12 05:00:00,1100,2018,2018-03-09 05:00:00,1200,2018,Afternoon,Friday,5,Richmond,12,West,Ward 21 - Rideau-Jock,David Brown,5050141.14,NONE,-75.77235605,45.21706536,March
23,2018-03-12 05:00:00,200,2018,2018-03-12 05:00:00,2000,2018,Evening,Monday,1,Carlingwood West - Glabar Park - McKellar Heights,14,West,Ward 7 - Bay,Theresa Kavanagh,5050031.0,MINOR,-75.77972475,45.37124797,March
24,2018-03-22 05:00:00,100,2018,2018-03-22 05:00:00,100,2018,Night,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,MAJOR,-75.61047606,45.37532481,March
25,2018-03-24 05:00:00,1700,2018,2018-03-24 05:00:00,1500,2018,Afternoon,Saturday,6,West Centertown,22,Central,Ward 14 - Somerset,Ariel Troster,5050041.0,MAJOR,-75.70984773,45.40832489,March
26,2018-03-30 05:00:00,200,2018,2018-03-30 05:00:00,2100,2018,Evening,Friday,5,Katimavik - Hazeldean,13,West,Ward 4 - Kanata North,Cathy Curry,5050160.06,MAJOR,-75.887065,45.32237854,March
27,2018-03-31 05:00:00,200,2018,2018-03-31 05:00:00,2000,2018,Evening,Saturday,6,Carleton Heights - Rideauview,17,West,Ward 16 - River,Riley Brockington,5050020.01,UNKNOWN,-75.70539085,45.36992351,March
28,2018-04-10 05:00:00,0,2018,2018-04-10 05:00:00,1400,2018,Afternoon,Tuesday,2,Vanier North,25,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050102.0,NONE,-75.66464209,45.43739276,April
29,2018-04-15 05:00:00,100,2018,2018-04-15 05:00:00,100,2018,Night,Sunday,7,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,MAJOR,-75.64733066,45.35363104,April
30,2018-04-16 05:00:00,1200,2018,2018-04-15 05:00:00,2300,2018,Evening,Sunday,7,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,UNKNOWN,-75.64533673,45.35807245,April
31,2018-04-17 05:00:00,200,2018,2018-04-17 05:00:00,2200,2018,Evening,Tuesday,2,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,UNKNOWN,-75.65229699,45.37489601,April
32,2018-04-19 05:00:00,100,2018,2018-04-19 05:00:00,0,2018,Night,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.1,UNKNOWN,-75.65712209,45.36525048,April
33,2018-04-20 05:00:00,0,2018,2018-04-19 05:00:00,2200,2018,Evening,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050007.02,UNKNOWN,-75.65229699,45.37489601,April
34,2018-04-23 05:00:00,200,2018,2018-04-23 05:00:00,2000,2018,Evening,Monday,1,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050133.0,UNKNOWN,-75.74304546,45.35660266,April
35,2018-05-05 05:00:00,300,2018,2018-05-05 05:00:00,300,2018,Night,Saturday,6,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.0,NONE,-75.61866099,45.3984387,May
36,2018-05-05 05:00:00,1700,2018,2018-05-05 05:00:00,1700,2018,Afternoon,Saturday,6,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.0,NONE,-75.62015415,45.39654614,May
37,2018-05-08 05:00:00,200,2018,2018-05-08 05:00:00,2300,2018,Evening,Tuesday,2,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050005.0,NONE,-75.66207898,45.37534166,May
38,2018-05-22 05:00:00,100,2018,2018-05-21 05:00:00,2300,2018,Evening,Monday,1,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,MINOR,-75.65352724,45.37252916,May
39,2018-05-25 05:00:00,200,2018,2018-05-25 05:00:00,2200,2018,Evening,Friday,5,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.0,MAJOR,-75.80146247,45.35753435,May
40,2018-05-27 05:00:00,1900,2018,2018-05-27 05:00:00,1900,2018,Evening,Sunday,7,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,MAJOR,-75.64131507,45.35897621,May
41,2018-05-27 05:00:00,900,2018,2018-05-27 05:00:00,900,2018,Morning,Sunday,7,Hunt Club South Industrial,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,UNKNOWN,-75.71833816,45.33547565,May
42,2018-05-28 05:00:00,900,2018,2018-05-24 05:00:00,1500,2018,Afternoon,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,NONE,-75.64441358,45.37696991,May
43,2018-06-01 05:00:00,200,2018,2018-05-31 05:00:00,200,2018,Night,Thursday,4,OrlZans Village - Chateauneuf,31,East,Ward 2 - OrlZans West-Innes,Laura Dudas,5050125.05,NONE,-75.52142205,45.47067478,May
44,2018-06-09 05:00:00,200,2018,2018-06-09 05:00:00,2000,2018,Evening,Saturday,6,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,UNKNOWN,-75.64733066,45.35363104,June
45,2018-06-18 05:00:00,1300,2018,2018-06-15 05:00:00,1700,2018,Afternoon,Friday,5,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,UNKNOWN,-75.64920449,45.37522595,June
46,2018-06-20 05:00:00,200,2018,2018-06-20 05:00:00,2300,2018,Evening,Wednesday,3,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.1,NONE,-75.65712209,45.36525048,June
47,2018-06-21 05:00:00,200,2018,2018-06-21 05:00:00,2200,2018,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,MINOR,-75.60025197,45.37433585,June
48,2018-06-27 05:00:00,200,2018,2018-06-27 05:00:00,2300,2018,Evening,Wednesday,3,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,MINOR,-75.65352724,45.37252916,June
49,2018-07-02 05:00:00,200,2018,2018-07-02 05:00:00,100,2018,Night,Monday,1,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MAJOR,-75.6026669,45.37280121,July
50,2018-07-03 05:00:00,200,2018,2018-07-03 05:00:00,2200,2018,Evening,Tuesday,2,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.04,UNKNOWN,-75.63983644,45.35392412,July
51,2018-07-05 05:00:00,200,2018,2018-07-05 05:00:00,700,2018,Morning,Thursday,4,Hunt Club East - Western Community,35,East,Ward 16 - River,Riley Brockington,5050002.05,UNKNOWN,-75.66758936,45.34641997,July
52,2018-07-05 05:00:00,200,2018,2018-07-05 05:00:00,2300,2018,Evening,Thursday,4,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,NONE,-75.63262133,45.36508203,July
53,2018-07-07 05:00:00,200,2018,2018-07-07 05:00:00,2300,2018,Evening,Saturday,6,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,UNKNOWN,-75.62560152,45.36234251,July
54,2018-07-11 05:00:00,0,2018,2018-07-11 05:00:00,0,2018,Night,Wednesday,3,Vanier North,25,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050104.0,UNKNOWN,-75.67551839,45.44014386,July
55,2018-08-04 05:00:00,900,2018,2018-08-04 05:00:00,900,2018,Morning,Saturday,6,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,UNKNOWN,-75.64840502,45.37304931,August
56,2018-08-19 05:00:00,400,2018,2018-08-19 05:00:00,400,2018,Night,Sunday,7,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.0,UNKNOWN,-75.73232144,45.38509608,August
57,2018-08-22 05:00:00,400,2018,2018-08-22 05:00:00,400,2018,Night,Wednesday,3,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,UNKNOWN,-75.62214397,45.36944568,August
58,2018-08-26 05:00:00,0,2018,2018-08-26 05:00:00,0,2018,Night,Sunday,7,Hunt Club Woods - Quintarra - Revelstoke,35,East,Ward 16 - River,Riley Brockington,5050002.06,NONE,-75.68994314,45.34309772,August
59,2018-09-01 05:00:00,100,2018,2018-09-01 05:00:00,100,2018,Night,Saturday,6,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,MINOR,-75.64733066,45.35363104,September
60,2018-09-21 05:00:00,1200,2018,2018-09-21 05:00:00,1100,2018,Morning,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050053.0,MINOR,-75.68577952,45.42875376,September
61,2018-09-22 05:00:00,1900,2018,2018-09-22 05:00:00,1900,2018,Evening,Saturday,6,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,NONE,-75.65254685,45.3540855,September
62,2018-09-25 05:00:00,200,2018,2018-09-25 05:00:00,2100,2018,Evening,Tuesday,2,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MINOR,-75.60316924,45.37260124,September
63,2018-10-06 05:00:00,1700,2018,2018-10-06 05:00:00,1700,2018,Afternoon,Saturday,6,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.0,MINOR,-75.73332104,45.3786542,October
64,2018-10-16 05:00:00,100,2018,2018-10-16 05:00:00,0,2018,Night,Tuesday,2,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.0,MAJOR,-75.80077059,45.3479261,October
65,2018-10-16 05:00:00,1800,2018,2018-10-16 05:00:00,1800,2018,Evening,Tuesday,2,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,UNKNOWN,-75.64708864,45.34648509,October
66,2018-10-20 05:00:00,900,2018,2018-10-20 05:00:00,100,2018,Night,Saturday,6,Barrhaven,16,West,Ward 3 - Barrhaven West,David Hill,5050140.05,UNKNOWN,-75.74874374,45.27263387,October
67,2018-10-26 05:00:00,100,2018,2018-10-26 05:00:00,100,2018,Night,Friday,5,Overbrook - McArthur,25,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050101.0,NONE,-75.67030365,45.43352665,October
68,2018-10-29 05:00:00,200,2018,2018-10-29 05:00:00,2300,2018,Evening,Monday,1,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.0,MAJOR,-75.8011136,45.35775682,October
69,2018-10-29 05:00:00,300,2018,2018-10-29 05:00:00,300,2018,Night,Monday,1,Hintonburg - Mechanicsville,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050046.0,NONE,-75.72919382,45.40635119,October
70,2018-10-29 05:00:00,900,2018,2018-10-29 05:00:00,900,2018,Morning,Monday,1,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.0,MINOR,-75.70278433,45.4109574,October
71,2018-11-08 05:00:00,1800,2018,2018-11-08 05:00:00,1800,2018,Evening,Thursday,4,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.0,UNKNOWN,-75.65237529,45.4251902,November
72,2018-11-13 05:00:00,1900,2018,2018-11-13 05:00:00,1900,2018,Evening,Tuesday,2,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,UNKNOWN,-75.62963064,45.36975024,November
73,2018-11-21 05:00:00,200,2018,2018-11-21 05:00:00,2200,2018,Evening,Wednesday,3,Billings Bridge - Alta Vista,34,East,Ward 17 - Capital,Shawn Menard,5050004.0,NONE,-75.67998506,45.38385944,November
74,2018-11-23 05:00:00,1800,2018,2018-11-23 05:00:00,1800,2018,Evening,Friday,5,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,FATAL,-75.65688543,45.36037885,November
75,2018-11-27 05:00:00,1500,2018,2018-11-10 05:00:00,400,2018,Night,Saturday,6,Carson Grove - Carson Meadows,32,East,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050062.01,NONE,-75.62491931,45.44298937,November
76,2018-11-29 05:00:00,200,2018,2018-11-29 05:00:00,2200,2018,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MAJOR,-75.61434699,45.36945174,November
77,2018-12-23 05:00:00,200,2018,2018-12-23 05:00:00,2200,2018,Evening,Sunday,7,Byward Market,24,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050054.0,MINOR,-75.69172846,45.42717568,December
78,2019-01-05 05:00:00,400,2019,2019-01-05 05:00:00,400,2019,Night,Saturday,6,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.0,MINOR,-75.79274319,45.34810025,January
79,2019-01-12 05:00:00,700,2019,2019-01-12 05:00:00,700,2019,Morning,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.0,NONE,-75.65741581,45.42481357,January
80,2019-01-14 05:00:00,200,2019,2019-01-14 05:00:00,2000,2019,Evening,Monday,1,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.0,MAJOR,-75.8011136,45.35775682,January
81,2019-01-15 05:00:00,200,2019,2019-01-03 05:00:00,2300,2019,Evening,Thursday,4,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.0,NONE,-75.68548347,45.36933334,January
82,2019-01-16 05:00:00,200,2019,2019-01-12 05:00:00,2300,2019,Evening,Saturday,6,Vanier North,25,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050101.0,NONE,-75.66454918,45.43675921,January
83,2019-01-16 05:00:00,1800,2019,2019-01-16 05:00:00,1700,2019,Afternoon,Wednesday,3,Vanier North,25,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050101.0,MAJOR,-75.66539973,45.4354186,January
84,2019-01-21 05:00:00,200,2019,2019-01-21 05:00:00,2000,2019,Evening,Monday,1,Pineview,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.02,NONE,-75.60201658,45.41852424,January
85,2019-01-22 05:00:00,200,2019,2019-01-22 05:00:00,2000,2019,Evening,Tuesday,2,Vanier North,25,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050103.0,MAJOR,-75.66132325,45.44140882,January
86,2019-01-24 05:00:00,200,2019,2019-01-24 05:00:00,2300,2019,Evening,Thursday,4,Cityview - Skyline - Fisher Heights,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050132.0,MINOR,-75.72815314,45.36151282,January
87,2019-01-31 05:00:00,200,2019,2019-01-31 05:00:00,2000,2019,Evening,Thursday,4,Cummings,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.03,MAJOR,-75.62827917,45.42568347,January
88,2019-02-01 05:00:00,1700,2019,2019-02-01 05:00:00,1700,2019,Afternoon,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050053.0,NONE,-75.68754346,45.42801394,February
89,2019-02-02 05:00:00,100,2019,2019-02-02 05:00:00,100,2019,Night,Saturday,6,Civic Hospital-Central Park,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050034.0,MINOR,-75.7227306,45.39395241,February
90,2019-02-06 05:00:00,200,2019,2019-02-06 05:00:00,200,2019,Night,Wednesday,3,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,13,West,Ward 4 - Kanata North,Cathy Curry,5050160.11,UNKNOWN,-75.92092072,45.34946519,February
91,2019-02-12 05:00:00,900,2019,2018-12-30 05:00:00,100,2018,Night,Sunday,7,Greenbelt - Shirleys Bay,14,West,Ward 7 - Bay,Theresa Kavanagh,5050141.14,UNKNOWN,-75.84652283,45.35351359,December
92,2019-02-20 05:00:00,200,2019,2019-02-20 05:00:00,200,2019,Night,Wednesday,3,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.04,MINOR,-75.65015344,45.40572581,February
93,2019-03-16 05:00:00,1200,2019,2019-03-16 05:00:00,1200,2019,Afternoon,Saturday,6,OrlZans Village - Chateauneuf,31,East,Ward 2 - OrlZans West-Innes,Laura Dudas,5050125.09,UNKNOWN,-75.52864383,45.45229835,March
94,2019-03-29 05:00:00,0,2019,2019-03-29 05:00:00,1400,2019,Afternoon,Friday,5,OrlZans Village - Chateauneuf,31,East,Ward 2 - OrlZans West-Innes,Laura Dudas,5050125.08,UNKNOWN,-75.51861642,45.45473221,March
95,2019-04-01 05:00:00,200,2019,2019-04-01 05:00:00,2200,2019,Evening,Monday,1,Civic Hospital-Central Park,21,Central,Ward 16 - River,Riley Brockington,5050020.01,NONE,-75.71457821,45.36812905,April
96,2019-04-13 05:00:00,200,2019,2019-04-13 05:00:00,2200,2019,Evening,Saturday,6,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,MINOR,-75.64840502,45.37304931,April
97,2019-04-18 05:00:00,200,2019,2019-04-18 05:00:00,200,2019,Night,Thursday,4,Byward Market,24,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050054.0,FATAL,-75.69403833,45.42756762,April
98,2019-04-25 05:00:00,100,2019,2019-04-25 05:00:00,100,2019,Night,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050005.0,MINOR,-75.66207898,45.37534166,April
99,2019-04-29 05:00:00,1400,2019,2019-04-26 05:00:00,1700,2019,Afternoon,Friday,5,Hintonburg - Mechanicsville,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050043.0,UNKNOWN,-75.71570968,45.40334205,April
100,2019-05-03 05:00:00,100,2019,2019-05-03 05:00:00,100,2019,Night,Friday,5,Civic Hospital-Central Park,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050034.0,MINOR,-75.7227306,45.39395241,May
101,2019-05-15 05:00:00,200,2019,2019-05-15 05:00:00,2100,2019,Evening,Wednesday,3,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.0,MAJOR,-75.65144367,45.42660724,May
102,2019-05-23 05:00:00,500,2019,2019-05-23 05:00:00,500,2019,Night,Thursday,4,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.0,UNKNOWN,-75.69743127,45.41317229,May
103,2019-05-24 05:00:00,0,2019,2019-05-23 05:00:00,2300,2019,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,UNKNOWN,-75.60025197,45.37433585,May
104,2019-05-27 05:00:00,200,2019,2019-05-27 05:00:00,2200,2019,Evening,Monday,1,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,FATAL,-75.64840502,45.37304931,May
105,2019-05-30 05:00:00,200,2019,2019-05-30 05:00:00,2300,2019,Evening,Thursday,4,Lowertown,24,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050056.0,MAJOR,-75.68457337,45.43264156,May
106,2019-05-30 05:00:00,300,2019,2019-05-30 05:00:00,200,2019,Night,Thursday,4,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.0,UNKNOWN,-75.70117876,45.41428124,May
107,2019-06-02 05:00:00,700,2019,2019-06-02 05:00:00,700,2019,Morning,Sunday,7,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050039.0,UNKNOWN,-75.70088898,45.40584191,June
108,2019-06-07 05:00:00,200,2019,2019-06-07 05:00:00,2100,2019,Evening,Friday,5,Byward Market,24,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050054.0,FATAL,-75.69321295,45.42816761,June
109,2019-06-10 05:00:00,1800,2019,2019-06-10 05:00:00,1800,2019,Evening,Monday,1,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,UNKNOWN,-75.64937124,45.34947084,June
110,2019-06-15 05:00:00,1800,2019,2019-06-15 05:00:00,1800,2019,Evening,Saturday,6,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,MAJOR,-75.63742832,45.36528203,June
111,2019-06-19 05:00:00,200,2019,2019-06-19 05:00:00,2000,2019,Evening,Wednesday,3,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050007.02,UNKNOWN,-75.65284776,45.37961428,June
112,2019-06-22 05:00:00,0,2019,2019-06-22 05:00:00,1400,2019,Afternoon,Saturday,6,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050038.0,UNKNOWN,-75.69854559,45.41791657,June
113,2019-06-22 05:00:00,1600,2019,2019-06-22 05:00:00,1600,2019,Afternoon,Saturday,6,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.0,MAJOR,-75.8011136,45.35775682,June
114,2019-07-01 05:00:00,300,2019,2019-07-01 05:00:00,300,2019,Night,Monday,1,Byward Market,24,Central,Ward 12 - Rideau-Vanier,StZphanie Plante,5050054.0,NONE,-75.69031574,45.42790414,July
115,2019-07-02 05:00:00,200,2019,2019-07-02 05:00:00,2100,2019,Evening,Tuesday,2,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.0,MAJOR,-75.65237529,45.4251902,July
